over,score,batsmen,bowler,comment,score_converted
7.1,1, Marcus Stoinis,Kuldeep Yadav ,"KULDEEP YADAV INTRODUCED!  SPIN FROM BOTH ENDS! full length ball, pitching outside off stump, Marcus Stoinis plays an aggressive off drive on the front foot for a single",
6.6,1, Marcus Stoinis,Axar Patel ,"Good length ball, pitching outside off stump, Marcus Stoinis uncomfortably leg glances it, 1 leg bye(s) gets added to the extras",
6.5,4, Marcus Stoinis,Axar Patel ,"EXCELLENT USE OF THE FEET!  full length ball, pitching outside off stump, Marcus Stoinis dances down the track and lofts over the bowler's head for a boundary! The best and safest place to hit the cricket ball is right over the bowler's head! ",
6.4,1, K L Rahul,Axar Patel ,"Full length ball, pitching on off stump, K L Rahul plays an aggressive on drive on the front foot for a single",
6.3,1, Marcus Stoinis,Axar Patel ,"Full length ball, pitching outside off stump, Marcus Stoinis plays an aggressive on drive on the front foot for a single",
6.2,0, Marcus Stoinis,Axar Patel ,"Full length ball, pitching outside off stump, Marcus Stoinis plays an aggressive off drive on the front foot, straight to the fielder",
6.1,0, Marcus Stoinis,Axar Patel ,"SPIN FOR THE FIRST TIME TONIGHT!  AXAR IT IS! full length ball, pitching outside off stump, Marcus Stoinis plays an aggressive cover drive on the front foot, straight to the fielder",
5.6,1, Marcus Stoinis,Mukesh Kumar ,"Short of good length ball, pitching outside off stump, Marcus Stoinis plays a defensive back foot push for a single",
5.5,1, K L Rahul,Mukesh Kumar ,"Short of good length ball, pitching outside off stump, K L Rahul glides it for a single",
5.4,0, K L Rahul,Mukesh Kumar ,"Good length ball, pitching outside off stump, K L Rahul plays an aggressive cover drive on the front foot, straight to the fielder",
5.3,0, K L Rahul,Mukesh Kumar ,"Short of good length ball, pitching outside off stump, K L Rahul plays a defensive back foot push, no run",
5.2,4, K L Rahul,Mukesh Kumar ,"DRIVEN BEAUTIFULLY!  good length ball, pitching outside off stump, K L Rahul steps down the track and drives it in the gap at extra covers! Excellent timing and placement from the stylish KL Rahul! ",
5.1,4, K L Rahul,Mukesh Kumar ,"MUKESH GREETED WITH A FOUR!  short of good length ball, pitching outside off stump and angling in, K L Rahul clips it off his ribs and leg glances it for 4 runs towards fine leg. Just helped on its way using the pace on offer! ",
4.6,0, Marcus Stoinis,Khaleel Ahmed ,"Short of good length ball, pitching on leg stump, Marcus Stoinis uncomfortably plays an aggressive cover drive on the back foot, no run",
4.5,1, K L Rahul,Khaleel Ahmed ,"Good length ball, pitching outside leg stump, K L Rahul plays an aggressive front foot flick for a single",
4.4,4, K L Rahul,Khaleel Ahmed ,"KLASSS WRITTEN ALL OVER IT!  good length ball, pitching outside off stump, K L Rahul leans into it and drives it straight back past the bowler for a classic boundary! What a shot!",
4.3,1, Marcus Stoinis,Khaleel Ahmed ,"STOINIS DROPPED! good length ball, pitching outside leg stump, Marcus Stoinis drives it straight back to the bowler who fails to hold onto it. Return catches are never easy! ",
4.2,W, Devdutt Padikkal,Khaleel Ahmed ,"THAT LOOKS PLUMB IN FRONT! good length ball, pitching outside off stump and angling in, Devdutt Padikkal gets struck on the back leg while looking to defend off the backfoot! Feet going nowhere and the ball is only going to crash into the stumps!   WICKET Devdutt Padikkal lbw Khaleel Ahmed (Lucknow Super Giants 41 Runs for 2 wickets)",
4.1,0, Devdutt Padikkal,Khaleel Ahmed ,"Good length ball, pitching outside off stump, Devdutt Padikkal uncomfortably plays a defensive shot on back foot, no run",
4.1,1, Devdutt Padikkal,Khaleel Ahmed ,"Short length ball, pitching outside off stump, Devdutt Padikkal offers no shot, 1 wide(s) gets added to the extras",
3.6,2, K L Rahul,Ishant Sharma ,"Short of good length ball, pitching outside off stump, K L Rahul plays an aggressive square drive on back foot for 2 runs",
3.5,4, K L Rahul,Ishant Sharma ,"CAPITALIZES ON THE WIDTH ON OFFER!  short of good length ball, pitching outside off stump, K L Rahul pounces on the short of length wide delivery by playing an excellent cut shot through cover-point for a boundary! Got on top of the bounce and just punched it off the backfoot! ",
3.4,1, Devdutt Padikkal,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Devdutt Padikkal glides it for a single",
3.4,1, Devdutt Padikkal,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Devdutt Padikkal leg glances it, 1 wide(s) gets added to the extras",
3.3,2, Devdutt Padikkal,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Devdutt Padikkal plays a defensive back foot push for 2 runs",
3.2,0, Devdutt Padikkal,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Devdutt Padikkal plays a defensive shot on back foot, no run",
3.2,1, Devdutt Padikkal,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Devdutt Padikkal leg glances it, 1 wide(s) gets added to the extras",
3.1,1, K L Rahul,Ishant Sharma ,"Short of good length ball, pitching outside off stump, K L Rahul plays an aggressive cut shot for a single",
2.6,0, Devdutt Padikkal,Khaleel Ahmed ,"Full toss ball, on off stump, Devdutt Padikkal plays an aggressive off drive on the front foot, straight to the fielder",
2.5,W, Quinton De Kock,Khaleel Ahmed ,"KHALEEL DRAWS FIRST BLOOD! good length ball, pitching on off stump and angling in, Quinton De Kock gets struck on the back leg while looking to heave across. The Umpire gives it out and a review confirms the same. That ball is clipping the leg stick! LSG retains the review though! WICKET Quinton De Kock lbw Khaleel Ahmed (Lucknow Super Giants 28 Runs for 1 wicket)",
2.4,0, Quinton De Kock,Khaleel Ahmed ,"Full length ball, pitching outside off stump, Quinton De Kock drives it straight aggressively using the front foot, straight to the fielder",
2.3,4, Quinton De Kock,Khaleel Ahmed ,"ANOTHER CLASSIC LEFT HANDER'S DRIVE OVER COVERS!  good length ball, pitching outside off stump, Quinton De Kock gets on the frontfoot and lofts it over covers for a boundary! Neatly timed! ",
2.2,1, K L Rahul,Khaleel Ahmed ,"Good length ball, pitching outside leg stump, K L Rahul plays a defensive forward push for a single",
2.1,6, K L Rahul,Khaleel Ahmed ,"GLORIOUS STROKE! good length ball, pitching outside off stump, K L Rahul leans into the drive and decides to take the aerial route over covers! As flat as it can get! First maximum of the night! ",
1.6,4, Quinton De Kock,Ishant Sharma ,"UP & OVER COVERS!  full length ball, pitching outside off stump, a leg cutter , Quinton De Kock gets on the frontfoot and plays a lofted drive over covers for a boundary! Middled that one alright QDK! ",
1.5,1, K L Rahul,Ishant Sharma ,"Good length ball, pitching outside off stump, K L Rahul plays an aggressive off drive on the front foot for a single",
1.4,1, Quinton De Kock,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Quinton De Kock plays an aggressive pull shot on the back foot for a single",
1.3,0, Quinton De Kock,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Quinton De Kock plays an aggressive square drive on back foot, straight to the fielder",
1.2,0, Quinton De Kock,Ishant Sharma ,"Short of good length ball, pitching outside off stump, Quinton De Kock plays an aggressive pull shot on the back foot and is beaten",
1.1,1, K L Rahul,Ishant Sharma ," SKIPPER OFF THE MARK! short of good length ball, pitching outside off stump, K L Rahul glides it for a single",
0.6,4, Quinton De Kock,Khaleel Ahmed ,"ANOTHER EDGE ANOTHER FOUR!  good length ball, pitching outside off stump, Quinton De Kock gets an inside edge this time while looking to drive through covers. This one runs away to the fine-leg fence! Not the best of starts for the left-hander! ",
0.5,0, Quinton De Kock,Khaleel Ahmed ,"Good length ball, pitching on off stump, Quinton De Kock uncomfortably plays a defensive forward push, no run",
0.4,2, Quinton De Kock,Khaleel Ahmed ,"Good length ball, pitching outside off stump, Quinton De Kock plays an aggressive cover drive on the front foot for 2 runs",
0.3,0, Quinton De Kock,Khaleel Ahmed ,"Good length ball, pitching on off stump, Quinton De Kock uncomfortably plays an aggressive on drive on the front foot, no run",
0.2,0, Quinton De Kock,Khaleel Ahmed ,"Yorker ball, pitching outside off stump, Quinton De Kock glides it and is beaten",
0.1,4, Quinton De Kock,Khaleel Ahmed ,"QDK STARTS WITH A FOUR!  back of length ball, pitching outside off stump, Quinton De Kock gets an outside edge while looking to play a square cut. Lucky for him that flies wide of the fielder at first slip and runs away to the third man fence! Moral victory for the bowler Khaleel Ahmed! ",
18.1,6, Tristan Stubbs,Arshad Khan ,"STUBBS FINISHES OFF IN STYLE! A harmless short ball from Arshad and Stubbs smokes this into the stand for a maximum. A DOMINATING WIN FOR THE CAPITALS, THEY BEAT THE SUPER GIANTS BY 6 WICKETS.",
17.6,0, Shai Hope,Yash Thakur ,"Short of good length ball, pitching outside off stump, Shai Hope plays a defensive back foot push, no run",
17.5,1, Tristan Stubbs,Yash Thakur ,"Full length ball, pitching on off stump, Tristan Stubbs plays an aggressive on drive on the front foot for a single",
17.4,2, Tristan Stubbs,Yash Thakur ,"Short length ball, pitching outside off stump, Tristan Stubbs uncomfortably plays an aggressive pull shot on the back foot for 2 runs",
17.3,1, Shai Hope,Yash Thakur ,"Good length ball, pitching outside off stump, Shai Hope plays an aggressive on drive on the front foot for a single",
17.2,2, Shai Hope,Yash Thakur ,"Good length ball, pitching outside off stump, Shai Hope plays an aggressive cover drive on the front foot for 2 runs",
17.1,0, Shai Hope,Yash Thakur ,"Full length ball, pitching outside off stump, Shai Hope plays an aggressive cover drive on the front foot, straight to the fielder",
16.6,2, Tristan Stubbs,Krunal Pandya ,"Good length ball, pitching on off stump, Tristan Stubbs plays a reverse sweep for 2 runs",
16.5,1, Shai Hope,Krunal Pandya ,"Full length ball, pitching on leg stump, Shai Hope plays an aggressive off drive on the front foot for a single",
16.4,1, Tristan Stubbs,Krunal Pandya ,"Short of good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive cover drive on the back foot for a single",
16.3,1, Shai Hope,Krunal Pandya ,"Good length ball, pitching outside off stump, Shai Hope plays a defensive back foot push for a single",
16.2,2, Shai Hope,Krunal Pandya ,"Good length ball, pitching on off stump, Shai Hope leg glances it for 2 runs",
16.1,1, Tristan Stubbs,Krunal Pandya ,"Full length ball, pitching outside off stump, Tristan Stubbs plays an aggressive off drive on the front foot for a single",
15.6,0, Shai Hope,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Shai Hope plays a forward defensive shot, no run",
15.5,0, Shai Hope,Ravi Bishnoi ,"Full length ball, pitching on off stump, Shai Hope plays a forward defensive shot, no run",
15.4,4, Shai Hope,Ravi Bishnoi ,"WHAT A BEAUTIFUL WAY TO START YOUR INNINGS! 150 UP FOR DC!  full length ball, pitching outside off stump, Shai Hope plays an exquisite cover drive to get off the mark with a boundary.",
15.3,W, Rishabh Pant,Ravi Bishnoi ,BISHNOI GETS THE SKIPPER!  Bowls the googly anticipating Pant to step down and so does Pant and KL swiftly removes the bails ending the skipper's good knock. WICKET Rishabh Pant st K L Rahul b Ravi Bishnoi (Delhi Capitals 146 Runs for 4 wickets) and is beaten,
15.2,1, Tristan Stubbs,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive cut shot for a single",
15.1,0, Tristan Stubbs,Ravi Bishnoi ,"Full length ball, pitching outside off stump, Tristan Stubbs plays a defensive forward push, no run",
14.6,4, Rishabh Pant,Haq ,"DC LOOKING TO END THINGS EARLY!   short length ball, pitching outside leg stump, Rishabh Pant gets a top edge while looking to pull it across. Luckily that goes over the Keeper's head and runs away to the fine leg fence! ",
14.5,1, Tristan Stubbs,Haq ,"Good length ball, pitching outside off stump, Tristan Stubbs glides it for a single",
14.4,W, Jake Fraser,Haq ,NAVEEN GETS THE PRIZE WICKET! Naveen goes full and wide to avoid being in the batter's arc while Jake looking to go big ends up slicing it straight into the hands of the fielder at deep point. WICKET Jake Fraser-McGurk c Arshad Khan b Naveen-Ul-Haq (Delhi Capitals 140 Runs for 3 wickets)towards Deep Backward Point,
14.3,2, Jake Fraser,Haq ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive lofted cover drive on the front foot for 2 runs",
14.2,1, Rishabh Pant,Haq ,"Short of good length ball, pitching outside leg stump, Rishabh Pant plays an aggressive pull shot on the back foot for a single",
14.1,1, Jake Fraser,Haq ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive lofted off drive on the front foot for a single",
13.6,0, Rishabh Pant,Yash Thakur ,"Full length ball, pitching outside leg stump, Rishabh Pant uncomfortably plays an aggressive front foot flick, no run",
13.5,6, Rishabh Pant,Yash Thakur ,"PULLED MAGNIFICENTLY! short of good length ball, pitching on leg stump, Rishabh Pant dispatches the off-cutter by smashing it across towards deep mid-wicket for half a dozen! That was six the moment it left his bat! ",
13.4,1, Jake Fraser,Yash Thakur ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive lofted off drive on the front foot for a single",
13.3,1, Rishabh Pant,Yash Thakur ,"Good length ball, pitching outside off stump, Rishabh Pant plays an aggressive cut shot for a single",
13.2,3, Jake Fraser,Yash Thakur ,"Full toss ball, on leg stump, Jake Fraser-McGurk plays an aggressive front foot flick for 3 runs",
13.1,4, Jake Fraser,Yash Thakur ,"EDGED FOR FOUR! good length ball, pitching outside off stump, Jake Fraser-McGurk gets it on the tow end of the bat while looking to go over covers. The ball runs in the gap between backward point and short third to reach the fence! ",
12.6,1, Jake Fraser,Krunal Pandya ,"Short of good length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive pull shot on the front foot for a single",
12.5,0, Jake Fraser,Krunal Pandya ,"Yorker ball, pitching outside off stump, Jake Fraser-McGurk glides it and is beaten",
12.4,0, Jake Fraser,Krunal Pandya ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive lofted on drive on the front foot, no run",
12.4,1, Jake Fraser,Krunal Pandya ,"Short length ball, pitching outside off stump, Jake Fraser-McGurk offers no shot, 1 wide(s) gets added to the extras",
12.3,6, Jake Fraser,Krunal Pandya ,"HATTRICK OF SIXES! short of good length ball, pitching outside off stump, Jake Fraser-McGurk once again makes room and swings through the line. Clears long off and gets another maximum for his side! ",
12.2,6, Jake Fraser,Krunal Pandya ,"BACK TO BACK SIXES! NO HALF MEASURES! full length ball, pitching outside off stump, Jake Fraser-McGurk dispatches the slot ball by playing a lofted drive over extra covers for a maximum! 2 in 2 from the Aussie, KP under pressure! Brings up the  partnership between the Two !!",
12.1,6, Jake Fraser,Krunal Pandya ,"GOING GOING GONE!   length ball, pitching on leg stump, Jake Fraser-McGurk clears front leg and heaves it across towards deep mid-wicket for half a dozen! That went a long long way! ",
12.1,1, Jake Fraser,Krunal Pandya ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk offers no shot, 1 wide(s) gets added to the extras",
11.6,4, Rishabh Pant,Marcus Stoinis ,"FALLING PULL BRINGS UP DC'S ! short of good length ball, pitching outside leg stump, Rishabh Pant falls over but still manages to connect a pull over short fine leg. Was an off-cutter but Pant adjusted well! ",
11.5,0, Rishabh Pant,Marcus Stoinis ,"Short length ball, pitching outside leg stump, Rishabh Pant plays an upper cut and is beaten",
11.4,4, Rishabh Pant,Marcus Stoinis ,"IMPROVISATION AT ITS VERY BEST!  good length ball, pitching on off stump, Rishabh Pant brings out a reverse scoop and connects wonderfully to hit it over short third for a boundary! Brings a smile on the face of Dada, Sourav Ganguly! ",
11.3,1, Jake Fraser,Marcus Stoinis ,"Short length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive pull shot on the back foot for a single",
11.2,0, Jake Fraser,Marcus Stoinis ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive lofted cover drive on the front foot, no run",
11.1,1, Rishabh Pant,Marcus Stoinis ,"STOINIS INTO THE ATTACK! full length ball, pitching on off stump, Rishabh Pant uncomfortably plays an aggressive lofted on drive on the front foot for a single",
10.6,1, Rishabh Pant,Ravi Bishnoi ,"Good length ball, pitching on off stump, Rishabh Pant plays an aggressive cut shot for a single",
10.5,4, Rishabh Pant,Ravi Bishnoi ,"CRUNCHED OFF THE BACKFOOT! good length ball, pitching outside off stump, Rishabh Pant rocks back and punches it wide of the fielder at long off for a boundary! Excellent timing and placement! ",
10.4,6, Rishabh Pant,Ravi Bishnoi ,"PANT BREAKS THE SHACKLES!  BOUNDARY AFTER 29 BALLS! full length ball, pitching on leg stump, Rishabh Pant dances down the track and launches the googly straight over the bowler's head for a maximum! That was a clean strike from the southpaw! ",
10.3,1, Jake Fraser,Ravi Bishnoi ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive lofted on drive on the front foot for a single",
10.2,2, Jake Fraser,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive lofted cover drive on the front foot for 2 runs",
10.1,1, Rishabh Pant,Ravi Bishnoi ,"3000 RUNS FOR PANT IN IPL!   good length ball, pitching on leg stump, Rishabh Pant uncomfortably plays a defensive forward push for a single",
9.6,0, Jake Fraser,Yash Thakur ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive lofted off drive on the front foot and is beaten",
9.5,1, Rishabh Pant,Yash Thakur ,"Short of good length ball, pitching outside leg stump, Rishabh Pant plays a defensive back foot push for a single",
9.4,1, Jake Fraser,Yash Thakur ,"Full toss ball, on off stump, Jake Fraser-McGurk plays an aggressive on drive on the front foot for a single",
9.3,0, Jake Fraser,Yash Thakur ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive cover drive on the front foot and is beaten",
9.2,0, Jake Fraser,Yash Thakur ,"Full length ball, pitching outside leg stump, Jake Fraser-McGurk uncomfortably plays an aggressive front foot flick, no run",
9.1,0, Jake Fraser,Yash Thakur ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive cover drive on the front foot, straight to the fielder",
8.6,0, Rishabh Pant,Ravi Bishnoi ,"Full length ball, pitching on middle stump, Rishabh Pant uncomfortably plays a reverse sweep, no run",
8.5,1, Jake Fraser,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive pull shot on the front foot for a single",
8.4,1, Rishabh Pant,Ravi Bishnoi ,"Full length ball, pitching on off stump, Rishabh Pant plays an aggressive off drive on the front foot for a single",
8.3,0, Rishabh Pant,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Rishabh Pant plays an aggressive cut shot, straight to the fielder",
8.2,0, Rishabh Pant,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Rishabh Pant plays an aggressive cut shot and is beaten",
8.1,2, Rishabh Pant,Ravi Bishnoi ,"Full length ball, pitching on off stump, Rishabh Pant plays an aggressive cover drive on the front foot for 2 runs",
7.6,1, Rishabh Pant,Haq ,"Short of good length ball, pitching outside leg stump, Rishabh Pant plays a defensive back foot push for a single",
7.5,1, Jake Fraser,Haq ,"Short length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive pull shot on the back foot for a single",
7.4,1, Rishabh Pant,Haq ,"Good length ball, pitching outside leg stump, Rishabh Pant plays a defensive forward push for a single",
7.3,0, Rishabh Pant,Haq ,"Good length ball, pitching outside leg stump, Rishabh Pant plays a defensive forward push, no run",
7.2,2, Rishabh Pant,Haq ,"Short of good length ball, pitching outside leg stump, Rishabh Pant plays an aggressive square drive on back foot for 2 runs",
7.1,1, Jake Fraser,Haq ,"Short length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive pull shot on the back foot for a single",
6.6,W, Prithvi Shaw,Ravi Bishnoi ,"BISHNOI GETS THE SET BATTER!  good length ball, pitching on off stump, Prithvi Shaw gets down to slog sweep it across but fails to get the desired connection! Pooran running in from deep mid-wicket takes a stunning catch diving forward!  WICKET Prithvi Shaw c Nicholas Pooran b Ravi Bishnoi (Delhi Capitals 63 Runs for 2 wickets)",
6.5,0, Prithvi Shaw,Ravi Bishnoi ,"Full length ball, pitching on leg stump, Prithvi Shaw uncomfortably plays a sweep shot, no run",
6.4,0, Prithvi Shaw,Ravi Bishnoi ,"Full length ball, pitching outside off stump, Prithvi Shaw plays a defensive forward push, no run",
6.3,1, Jake Fraser,Ravi Bishnoi ,"Full length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive cover drive on the front foot for a single",
6.2,0, Jake Fraser,Ravi Bishnoi ,"Short of good length ball, pitching on off stump, Jake Fraser-McGurk uncomfortably plays an aggressive pull shot on the back foot, no run",
6.1,0, Jake Fraser,Ravi Bishnoi ,"TIME FOR SOME LEG SPIN! good length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive off drive on the front foot, no run",
5.6,2, Prithvi Shaw,Krunal Pandya ,"Full length ball, pitching outside leg stump, Prithvi Shaw plays a defensive back foot push for 2 runs, Appeal from the fielding side",
5.5,0, Prithvi Shaw,Krunal Pandya ,"Good length ball, pitching on off stump, Prithvi Shaw uncomfortably plays a defensive back foot push, no run",
5.4,4, Prithvi Shaw,Krunal Pandya ,"CLEARS THE INFIELD! short of good length ball, pitching outside off stump, Prithvi Shaw makes space and pulls it in front of square, he hits that one over the fielder at mid-on for a boundary! That is the best way to go about when the fielding restrictions are on! ",
5.3,4, Prithvi Shaw,Krunal Pandya ,"SWEPT FOR FOUR!  full length ball, pitching on middle stump, Prithvi Shaw gets down on one knee and sweeps it towards the vacant deep square leg region for a boundary! ",
5.2,1, Jake Fraser,Krunal Pandya ,"Short of good length ball, pitching on off stump, Jake Fraser-McGurk uncomfortably plays an aggressive pull shot on the front foot, 1 leg bye(s) gets added to the extras",
5.2,5, Jake Fraser,Krunal Pandya ,"Good length ball, pitching outside leg stump, Jake Fraser-McGurk plays an aggressive pull shot on the back foot, 5 wide(s) gets added to the extras",
5.1,1, Prithvi Shaw,Krunal Pandya ,"SPIN INTRODUCED INSIDE POWERPLAY!  good length ball, pitching outside off stump, Prithvi Shaw plays a defensive back foot push for a single",
4.6,4, Jake Fraser,Arshad Khan ,"SLICED AWAY!  full length ball pitching outside off stump, Jake Fraser-McGurk throws his bat at that one, slices it over short third and gets four for it! Making his intentions very clear JMF! ",
4.5,0, Jake Fraser,Arshad Khan ,"Good length ball, pitching outside leg stump, Jake Fraser-McGurk plays a defensive forward push, no run",
4.4,6, Jake Fraser,Arshad Khan ,"THIS GUY IS DEALING IN SIXES!  short length ball, pitching outside leg stump, Jake Fraser-McGurk gets his front leg out of the way and heaves it across towards wide long on for another maximum! Clean striking from the hard-hitting batter from Australia! ",
4.3,0, Jake Fraser,Arshad Khan ,"Short length ball, pitching outside leg stump, Jake Fraser-McGurk plays an aggressive pull shot on the back foot and is beaten",
4.2,1, Prithvi Shaw,Arshad Khan ,"Short of good length ball, pitching outside leg stump, Prithvi Shaw plays a defensive back foot push for a single",
4.1,4, Prithvi Shaw,Arshad Khan ,"EXCELLENT STRAIGHT DRIVE FROM SHAW! good length ball, pitching on off stump, Prithvi Shaw gets on the frontfoot, presents the full face of the bat and drives it past the bowler for a boundary! No chance for the fielder at mid-off to get around that one! ",
3.6,0, Jake Fraser,Yash Thakur ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk plays an aggressive off drive on the front foot, straight to the fielder",
3.5,6, Jake Fraser,Yash Thakur ,"FRASER MCGURK OFF THE MARK WITH A MAXIMUM IN IPL!  short of good length ball, pitching outside off stump, Jake Fraser-McGurk gets the front leg out of the way and smashes the pull towards deep mid-wicket for half a dozen! ",
3.4,0, Jake Fraser,Yash Thakur ,"Good length ball, pitching outside off stump, Jake Fraser-McGurk uncomfortably plays an aggressive off drive on the front foot, no run",
3.3,W, David Warner,Yash Thakur ,"THAKUR GETS THE BIG FISH!  WARNER BACK ON HIS WAY! good length ball, pitching on off stump, David Warner gets struck on the pads while looking to scoop it behind but the ball ricochets off the pads onto the stumps.  Unfortunate for Warner the ball rolls onto the wickets!   WICKET David Warner b Yash Thakur (Delhi Capitals 24 Runs for 1 wicket)",
3.2,2, David Warner,Yash Thakur ,"Short of good length ball, pitching on off stump, David Warner plays an aggressive cut shot for 2 runs",
3.1,0, David Warner,Yash Thakur ,"BOWLING CHANGE!  PACER YASH THAKUR INTRODUCED! short of good length ball, pitching on off stump, David Warner uncomfortably plays an aggressive cover drive on the back foot, no run",
2.6,0, Prithvi Shaw,Arshad Khan ,"Short of good length ball, pitching outside leg stump, Prithvi Shaw glides it, no run",
2.5,4, Prithvi Shaw,Arshad Khan ,"SLAPPED BACK PAST THE BOWLER!  short of good length ball, pitching on leg stump, Prithvi Shaw clears front leg and smashes it with a horizontal flat bat past the bowler for a boundary! ",
2.4,0, Prithvi Shaw,Arshad Khan ,"Short of good length ball, pitching outside leg stump, Prithvi Shaw uncomfortably plays a defensive back foot push, no run",
2.3,0, Prithvi Shaw,Arshad Khan ,"BEAUTY FROM ARSHAD!  good length ball, pitching on off stump and angling across, Prithvi Shaw gets beaten all ends up while looking to defend it. ",
2.2,1, David Warner,Arshad Khan ,"Short of good length ball, pitching outside off stump, David Warner plays an aggressive pull shot on the back foot for a single",
2.1,1, Prithvi Shaw,Arshad Khan ,"Good length ball, pitching on off stump, Prithvi Shaw plays a forward defensive shot for a single",
1.6,0, David Warner,Haq ,"Good length ball, pitching outside off stump, David Warner uncomfortably plays the scoop, no run",
1.5,1, Prithvi Shaw,Haq ,"Full length ball, pitching outside off stump, Prithvi Shaw uncomfortably plays an aggressive cover drive on the front foot for a single",
1.4,0, Prithvi Shaw,Haq ,"Good length ball, pitching outside off stump, Prithvi Shaw plays a defensive forward push, no run",
1.3,4, Prithvi Shaw,Haq ,"UPPISH BUT WELL IN THE GAP! BACK TO BACK FOURS! good length ball, pitching outside off stump, Prithvi Shaw drives it in the air managing to bisect the field at extra covers! Excellent timing once again from Prithvi Shaw! ",
1.2,4, Prithvi Shaw,Haq ,"FULL-WIDE & PUNISHED!  full length ball, pitching wide outside off stump, Prithvi Shaw reaches out and connects well to drive it over backward point for a boundary! That made a cracking sound of his bat! ",
1.1,0, Prithvi Shaw,Haq ,"NAVEEN UL HAQ FROM THE OTHER END! good length ball, pitching outside off stump, Prithvi Shaw plays a defensive forward push, no run",
0.6,4, David Warner,Arshad Khan ,"FIRST FOUR OF THE INNINGS!  short of good length ball, pitching outside off stump, David Warner picks the length early and pulls it along the ground finding space between mid-on and mid-wicket! Neatly done by Warner! ",
0.5,1, Prithvi Shaw,Arshad Khan ,"Short of good length ball, pitching outside leg stump, Prithvi Shaw plays a defensive back foot push for a single",
0.4,1, David Warner,Arshad Khan ,"Good length ball, pitching outside off stump, David Warner plays an aggressive cover drive on the front foot for a single",
0.3,0, David Warner,Arshad Khan ,"PEACH OF A DELIVERY!  good length ball, pitching outside off stump and cutting back in sharply, David Warner gets beaten while looking to defend off the backfoot. ",
0.2,0, David Warner,Arshad Khan ,"Good length ball, pitching outside off stump, David Warner glides it and is beaten",
0.1,1, Prithvi Shaw,Arshad Khan ,"LEFT ARM PACE TO START THE PROCEEDINGS!  short of good length ball, pitching outside leg stump, Prithvi Shaw uncomfortably plays an aggressive pull shot on the back foot for a single",
19.6,1, Dinesh Karthik,Akash Madhwal ,"Good length ball, pitching on leg stump, Dinesh Karthik plays an aggressive front foot flick for a single",
19.5,4, Dinesh Karthik,Akash Madhwal ,"DRILLED THROUGH COVERS!  full length ball, pitching outside off stump, Dinesh Karthik gets hold of the full ball and drives it firmly through extra covers for a boundary! DK going at 200 at the moment! Gets to his fifty in style, DK the Saviour! ",
19.4,6, Dinesh Karthik,Akash Madhwal ,"GOING GOING GONE!  BACK TO BACK MAXIMUMS!  short length ball, pitching outside off stump, Dinesh Karthik picks the length early and plays a swivel pull right out of the middle of the bat! That one goes sailing over deep square leg! ",
19.3,6, Dinesh Karthik,Akash Madhwal ,"DK MAKING A MOCKERY OF THE FIELD PLACEMENT!  full length ball, pitching outside off stump, Dinesh Karthik opens the face of the bat and slices it wide of the fielder at third man for a maximum! Excellent wristwork from DK! ",
19.3,1, Dinesh Karthik,Akash Madhwal ,"Full length ball, pitching wide outside off stump, Dinesh Karthik offers no shot, 1 wide(s) gets added to the extras",
