,over,score,batsmen,bowler,comment,score_converted
3223,16.4,1,Ishant Sharma,Vaibhav Arora ,"Short length ball, pitching on leg stump, Ishant Sharma uncomfortably plays a defensive shot on back foot for a single",1
3224,16.3,0,Ishant Sharma,Vaibhav Arora ,"Yorker ball, pitching on off stump, Ishant Sharma uncomfortably plays a defensive forward push, no run",0
3225,16.2,0,Ishant Sharma,Vaibhav Arora ,"Short length ball, pitching outside off stump, Ishant Sharma plays an aggressive cover drive on the back foot and is beaten",0
3226,16.1,W,Rasikh Salam,Vaibhav Arora ,"SKY HIGH MISCUE  short length ball, pitching outside off stump, Rasikh Salam plays an aggressive pull shot on the front foot but only finds the edge, catapulting the ball into the night. Phil Salt, ever vigilant behind the stumps, strides confidently to his right, securing the catch with ease  WICKET Rasikh Salam c Phil Salt b Vaibhav Arora (Delhi Capitals 161 Runs for 9 wickets)",8
3227,15.6,1,Rasikh Salam,Sunil Narine ,"Good length ball, pitching outside off stump, Rasikh Salam plays a defensive back foot push for a single",1
3228,15.5,0,Rasikh Salam,Sunil Narine ,"Full length ball, pitching outside off stump, Rasikh Salam plays an aggressive cover drive on the front foot, straight to the fielder",0
3229,15.4,0,Rasikh Salam,Sunil Narine ,"Good length ball, pitching on leg stump, Rasikh Salam uncomfortably plays a sweep shot, no run",0
3230,15.3,1,Anrich Nortje,Sunil Narine ,"Good length ball, pitching outside off stump, Anrich Nortje plays an aggressive lofted cover drive on the front foot for a single",1
3231,15.2,0,Anrich Nortje,Sunil Narine ,"Good length ball, pitching on off stump, Anrich Nortje uncomfortably plays an aggressive on drive on the front foot, no run",0
3232,15.1,W,Sumit Kumar,Sunil Narine ," KKR IN COMPLETE CONTROL  full length ball, pitching on off stump, Sumit Kumar opting for a daring slog sweep off a tantalizingly flighted delivery, Kumar can only manage to sky it towards deep mid-wicket. There, Manish Pandey, the substitute, makes no mistake, wrapping up a straightforward catch and sending Kumar back. This dismissal further tightens the screws on the Capitals, marking their eighth loss.  WICKET Sumit Kumar c Manish Pandey b Sunil Narine (Delhi Capitals 159 Runs for 8 wickets)",8
3233,14.6,0,Rasikh Salam,Varun Chakaravarthy ,"Good length ball, pitching on off stump, Rasikh Salam uncomfortably plays a forward defensive shot, no run",0
3234,14.5,W,Tristan Stubbs,Varun Chakaravarthy ," CHAKARAVARTHY COUNTERS  full length ball, pitching outside leg stump, Tristan Stubbs aiming for a leg-side heave, misjudges the length and the ball's inner half finds its way straight into the safe hands of Starc at deep backward square leg.   WICKET Tristan Stubbs c Mitchell Starc b Varun Chakaravarthy (Delhi Capitals 159 Runs for 7 wickets)",8
3235,14.4,4,Tristan Stubbs,Varun Chakaravarthy ,"NO MERCY FROM STUBBS  full length ball, pitching outside off stump, Tristan Stubbs dropping to one knee, he lifts it effortlessly through the off-side, leaving the sweeper cover stranded and adding four more to the tally.",4
3236,14.3,0,Tristan Stubbs,Varun Chakaravarthy ,"Yorker ball, pitching outside leg stump, Tristan Stubbs uncomfortably plays an aggressive front foot flick, no run",0
3237,14.3,5,Tristan Stubbs,Varun Chakaravarthy ,"Full toss ball, wide outside off stump, Tristan Stubbs offers no shot 4 no-ball bye(s)",5
3238,14.2,1,Sumit Kumar,Varun Chakaravarthy ,"Good length ball, pitching on off stump, Sumit Kumar plays an aggressive pull shot on the back foot, 1 leg bye(s) gets added to the extras",1
3239,14.1,1,Tristan Stubbs,Varun Chakaravarthy ,"Full length ball, pitching outside leg stump, Tristan Stubbs plays an aggressive on drive on the front foot for a single",1
3240,13.6,6,Sumit Kumar,Sunil Narine ,"SUMIT TAKEN ON SUNIL AND GETS A   short of good length ball, pitching on off stump, Sumit Kumar sinks into his crease, unleashing a ferocious pull that rockets towards the forward square leg boundary for a six.",6
3241,13.5,0,Sumit Kumar,Sunil Narine ,"Good length ball, pitching outside off stump, Sumit Kumar uncomfortably plays a defensive back foot push, no run",0
3243,13.3,6,Tristan Stubbs,Sunil Narine ,"SWEEPING SUCCESS good length ball, pitching on leg stump, Tristan Stubbs plays a sweep shot from the pads over backward square leg for his second consecutive six.",6
3244,13.2,6,Tristan Stubbs,Sunil Narine ,"STUBBS STRIKES AND ITS A MAXIMUM   good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive lofted cover drive on the front foot and effortlessly lofting it over covers for a majestic six off a shorter delivery for 6 runs",6
3245,13.1,0,Tristan Stubbs,Sunil Narine ,"Good length ball, pitching on off stump, Tristan Stubbs uncomfortably plays a slog sweep, no run",0
3247,12.5,1,Sumit Kumar,Varun Chakaravarthy ,"Full length ball, pitching on off stump, Sumit Kumar plays an aggressive off drive on the front foot for a single",1
3248,12.4,0,Sumit Kumar,Varun Chakaravarthy ,"Good length ball, pitching on off stump, Sumit Kumar uncomfortably plays a forward defensive shot, no run, Appeal from the fielding side",0
3249,12.4,1,Sumit Kumar,Varun Chakaravarthy ,"Good length ball, pitching on leg stump, Sumit Kumar leg glances it, 1 wide(s) gets added to the extras",1
3250,12.3,W,Axar Patel,Varun Chakaravarthy ,"MAGICAL DELIVERY AND ITS 2/2 FOR VARUN  full length ball, pitching outside off stump, Axar Patel aiming for the stars but connecting poorly. The ball soars, and as two fielders close in, Pandey takes charge with a spectacular dive from long-on, clinching an unbelievable catch. Chakaravarthy eyes a hat-trick, turning up the heat.   WICKET Axar Patel c Manish Pandey b Varun Chakaravarthy (Delhi Capitals 126 Runs for 6 wickets) Varun Chakaravarthy gets ?? in ??  Excellent fielding on display ????????  Watch the match LIVE on @JioCinema and @StarSportsIndia ????????#TATAIPL | #DCvKKR | @KKRiders pic.twitter.com/zTFXctBFBx — IndianPremierLeague (@IPL) April 3, 2024",8
3251,12.2,W,Rishabh Pant,Varun Chakaravarthy ,"TURN OF THE TIDE  full length ball, pitching outside off stump, Rishabh Pant plays an aggressive lofted off drive on the front foot but it misfires, leading to a top edge caught by Shreyas Iyer in a backward sprint. Pant's departure after a spirited half-century leaves DC navigating troubled waters in their chase.   WICKET Rishabh Pant c Shreyas Iyer b Varun Chakaravarthy (Delhi Capitals 126 Runs for 5 wickets)",8
3252,12.1,1,Tristan Stubbs,Varun Chakaravarthy ,"Full length ball, pitching outside leg stump, Tristan Stubbs plays an aggressive lofted on drive on the front foot for a single",1
3253,11.6,4,Rishabh Pant,Venkatesh Iyer ,"OVERPOWERED  full toss ball, outside off stump, Rishabh Pant stretches, delicately opening the bat to guide it past deep backward point for 4 runs. ABSOLUTELY DEMOLISHED , MOST EXPENSIVE OVER IN MATCH ",4
3254,11.5,4,Rishabh Pant,Venkatesh Iyer ,"HALF-TON FOR THE SKIPPER  good length ball, pitching outside off stump, Rishabh Pant cleverly kneels and pulls it over backward square leg, notching up his milestone with a boundary",4
3255,11.4,4,Rishabh Pant,Venkatesh Iyer ,"PANT'S POWER IN FULL DISPLAY full toss ball, outside off stump, Rishabh Pant effortlessly turns a full-toss around off into a spectacle, slicing it through backward point with a finesse that leaves the fielder chasing shadows.",4
3256,11.3,6,Rishabh Pant,Venkatesh Iyer ,"AUDICITY UNLEASHED  full length ball, pitching outside leg stump, Rishabh Pant showcases sheer boldness, transforming the poor ball into an exhilarating scoop over short fine.",6
3257,11.2,6,Rishabh Pant,Venkatesh Iyer ," FORCE OF NATURE  good length ball, pitching outside off stump, Rishabh Pant explodes into action,A towering blow over wide long-off for six! ",6
3258,11.1,4,Rishabh Pant,Venkatesh Iyer ,"FREEBIE FINISHER short of good length ball, pitching on off stump, Rishabh Pant punishes Iwith a smart crouch and a flick over short fine, finding the boundary with ease. It's a poor delivery, yes, but Pant's execution is nothing short of clinical.",4
3259,10.6,4,Tristan Stubbs,Varun Chakaravarthy ,"SKIMS QUICK FOR A   full length ball, pitching outside leg stump, Tristan Stubbs carves out space and launches it with sheer force down the ground for a boundary.",4
3260,10.5,1,Rishabh Pant,Varun Chakaravarthy ,"Full length ball, pitching on middle stump, Rishabh Pant plays an aggressive front foot flick for a single",1
3262,10.4,1,Tristan Stubbs,Varun Chakaravarthy ,"Full length ball, pitching outside off stump, Tristan Stubbs offers no shot, 1 wide(s) gets added to the extras",1
3263,10.3,1,Rishabh Pant,Varun Chakaravarthy ,"Good length ball, pitching outside off stump, Rishabh Pant drives it straight aggressively using the front foot for a single",1
3264,10.2,1,Tristan Stubbs,Varun Chakaravarthy ,"Good length ball, pitching on off stump, Tristan Stubbs plays an aggressive pull shot on the back foot for a single",1
3265,10.1,1,Rishabh Pant,Varun Chakaravarthy ,"Good length ball, pitching outside off stump, Rishabh Pant plays an aggressive front foot flick for a single",1
3266,9.6,2,Tristan Stubbs,Sunil Narine ,"Short of good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive pull shot on the back foot for 2 runs",2
3267,9.5,1,Rishabh Pant,Sunil Narine ,"Good length ball, pitching outside leg stump, Rishabh Pant steps down and plays an aggressive on drive for a single",1
3269,9.3,0,Rishabh Pant,Sunil Narine ,"Full length ball, pitching on off stump, Rishabh Pant uncomfortably plays a sweep shot, no run",0
3270,9.2,0,Rishabh Pant,Sunil Narine ,"Good length ball, pitching on off stump, Rishabh Pant uncomfortably plays an aggressive cut shot, no run",0
3271,9.1,1,Tristan Stubbs,Sunil Narine ,"Full length ball, pitching on off stump, Tristan Stubbs plays an aggressive off drive on the front foot for a single",1
3272,8.6,0,Rishabh Pant,Varun Chakaravarthy ,"Good length ball, pitching outside off stump, Rishabh Pant uncomfortably plays a reverse sweep, no run",0
3274,8.4,1,Tristan Stubbs,Varun Chakaravarthy ,"Short of good length ball, pitching on off stump, Tristan Stubbs plays an aggressive pull shot on the back foot for a single",1
3275,8.3,6,Tristan Stubbs,Varun Chakaravarthy ,"RAW POWER ON DISPLAY  short of good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive lofted straight shot on the front foot,mercilessly dispatched downtown with a back-foot power hit, traveling into the night",6
3276,8.2,0,Tristan Stubbs,Varun Chakaravarthy ,"Good length ball, pitching on leg stump, Tristan Stubbs plays a defensive back foot push, no run",0
3277,8.1,6,Tristan Stubbs,Varun Chakaravarthy ," MYSTERY SPIN TO A MIGHTY SIX!  full length ball, pitching on off stump, it was right in the sweet spot,  Tristan Stubbs brings out a majestic slog sweep that sails over mid-wicket and disappears deep into the stands for a mighty six.",6
3279,7.5,2,Rishabh Pant,Sunil Narine ,"Good length ball, pitching on middle stump, Rishabh Pant plays an aggressive on drive off the back foot for 2 runs",2
3280,7.4,1,Tristan Stubbs,Sunil Narine ,"Good length ball, pitching on off stump, Tristan Stubbs uncomfortably plays a reverse sweep, 1 leg bye(s) gets added to the extras",1
3281,7.3,1,Rishabh Pant,Sunil Narine ,"Full length ball, pitching outside off stump, Rishabh Pant plays a sweep shot for a single",1
3282,7.2,1,Tristan Stubbs,Sunil Narine ,"Short of good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive on drive off the back foot for a single",1
3283,7.1,0,Tristan Stubbs,Sunil Narine ,"NARINE INTO THE ATTACK  good length ball, pitching on off stump, Tristan Stubbs plays a forward defensive shot, no run",0
3284,6.6,0,Rishabh Pant,Andre Russell ,"Short length ball, pitching on leg stump, Rishabh Pant offers no shot",0
3285,6.5,6,Rishabh Pant,Andre Russell ,"MAKES IT 2 IN A ROW!  short length ball, pitching outside leg stump, Rishabh Pant with a powerful pull shot, he muscles the ball high and over the deep square leg fielder for a maximum",6
3286,6.4,6,Rishabh Pant,Andre Russell ,"PUNTED AWAY BY PANT! full length ball, pitching on off stump, Rishabh Pant whips the ball across the line with a ferocious swing, sending it soaring majestically over deep square leg for a colossal six! ",6
3287,6.3,1,Tristan Stubbs,Andre Russell ,"Short of good length ball, pitching outside off stump, Tristan Stubbs glides it for a single",1
3288,6.2,0,Tristan Stubbs,Andre Russell ,"Good length ball, pitching outside off stump, Tristan Stubbs plays a defensive shot on back foot, no run",0
3289,6.1,1,Rishabh Pant,Andre Russell ,"DRE RUSS WITH THE BALL NOW!  good length ball, pitching outside off stump, Rishabh Pant plays an aggressive cover drive on the front foot for a single",1
3290,5.6,1,Rishabh Pant,Vaibhav Arora ,"Good length ball, pitching on leg stump, Rishabh Pant plays an aggressive front foot flick for a single",1
3291,5.6,1,Rishabh Pant,Vaibhav Arora ,"Short length ball, pitching outside leg stump, Rishabh Pant offers no shot, 1 wide(s) gets added to the extras",1
3292,5.5,1,Tristan Stubbs,Vaibhav Arora ,"Short of good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive pull shot on the back foot for a single",1
3293,5.4,0,Tristan Stubbs,Vaibhav Arora ,"Yorker ball, pitching on off stump, Tristan Stubbs plays a forward defensive shot, no run",0
3294,5.3,4,Tristan Stubbs,Vaibhav Arora ,"STUBBS DOUBLES DOWN ON s short length ball, pitching outside off stump, Tristan Stubbs lunges forward with a calculated step out, aiming for a powerful pull shot over mid-wicket. While the connection isn't as clean as he might have liked, Stubbs still manages to get some bat on the ball. The snick off the outside edge takes a friendly trajectory, soaring high over the head of the short fine-leg fielder for four! ",4
3295,5.2,4,Tristan Stubbs,Vaibhav Arora ,"TAKES THE AERIAL ROUTE short of good length ball, pitching outside off stump, Tristan Stubbs creates room with a decisive step out, judges the line perfectly, and launches a mighty swing. The ball connects with a satisfying thwack and soars high over the mid-wicket fielder's outstretched hand. It flirts with the boundary ropes for a moment before dipping safely over for a thrilling FOUR!",4
3296,5.1,0,Tristan Stubbs,Vaibhav Arora ,"Short of good length ball, pitching outside off stump, Tristan Stubbs plays an aggressive pull shot on the back foot, straight to the fielder",0
3297,4.6,6,Rishabh Pant,Mitchell Starc ,"SKIPPER OFF THE MARK WITH A  full length ball, pitching outside leg stump, Rishabh Pant executes a delightful flick over fine-leg, sending the ball sailing over the ropes for a satisfying SIX!",6
3298,4.5,1,Tristan Stubbs,Mitchell Starc ,"Full toss ball, outside off stump, Tristan Stubbs drives it straight aggressively using the front foot for a single",1
3299,4.4,0,Tristan Stubbs,Mitchell Starc ,"Short of good length ball, pitching outside leg stump, Tristan Stubbs plays a defensive shot on back foot, no run",0
3300,4.3,W,David Warner,Mitchell Starc ,"HUGE BLOW FOR DC  good length ball, pitching outside off stump, David Warner perhaps over-eager to continue his aggressive batting, goes for a cut shot. However, he gets an inside edge that ricochets onto the stumps, shattering his wicket.Can DC find a way to weather this storm?   WICKET David Warner b Mitchell Starc (Delhi Capitals 33 Runs for 4 wickets)",8
3301,4.2,6,David Warner,Mitchell Starc ,"SOUTHPAW STRIKES  good length ball, pitching outside off stump, David Warner hungry for big runs, clears his front leg and executes a powerful swing. The ball finds itself right in the slot, and Warner connects beautifully! The sound of the bat crack echoes as the ball rockets over mid-wicket, sailing majestically into the stands for a monstrous 6 runs",6
3302,4.1,0,David Warner,Mitchell Starc ,"Short of good length ball, pitching outside off stump, David Warner plays a defensive back foot push, no run",0
3303,3.6,W,Abishek Porel,Vaibhav Arora ,"IMPACT FROM THE IMPACT PLAYER short length ball, pitching outside leg stump, Abishek Porel succumbs to a menacing bouncer.Porel's attempt spirals into a top-edge, floating gently to short fine leg, where the fielder retreats, eyes glued to the descending ball, to complete a straightforward catch. With Arora claiming his second prey of the evening, KKR's dominance surges, leaving DC in a precarious position  WICKET Abishek Porel c Sunil Narine b Vaibhav Arora (Delhi Capitals 27 Runs for 3 wickets)",8
3304,3.5,0,Abishek Porel,Vaibhav Arora ,"Full length ball, pitching outside off stump, Abishek Porel drives it straight aggressively using the front foot, straight to the fielder",0
3305,3.4,0,Abishek Porel,Vaibhav Arora ,"Good length ball, pitching on leg stump, Abishek Porel plays a defensive forward push, no run",0
3306,3.3,0,Abishek Porel,Vaibhav Arora ,"Good length ball, pitching outside leg stump, Abishek Porel plays an aggressive on drive on the front foot, straight to the fielder",0
3307,3.2,1,David Warner,Vaibhav Arora ,"Full length ball, pitching outside off stump, David Warner uncomfortably glides it for a single",1
3308,3.1,0,David Warner,Vaibhav Arora ,"Full length ball, pitching outside off stump, David Warner plays a defensive forward push and is beaten",0
3309,2.6,0,Abishek Porel,Mitchell Starc ,"Good length ball, pitching outside off stump, Abishek Porel plays a forward defensive shot and is beaten",0
3310,2.5,W,Mitchell Marsh,Mitchell Starc ,"STARC STRIKES, HIS 1st IPL SCALP   full length ball, pitching outside off stump, Mitchell Marsh plays an aggressive lofted cover drive on the front foot, it looked like it was travelling to the ropes, but Ramandeep just plucks it straight outta thin air, makes it look so easy. Marsh's departure for a duck deepens DC's woes.   WICKET Mitchell Marsh c Ramandeep Singh b Mitchell Starc (Delhi Capitals 26 Runs for 2 wickets)",8
3311,2.4,1,David Warner,Mitchell Starc ,"Good length ball, pitching outside off stump, David Warner plays a defensive back foot push for a single",1
3312,2.3,0,David Warner,Mitchell Starc ,"Full length ball, pitching on off stump, David Warner plays a defensive forward push, no run",0
3313,2.2,0,David Warner,Mitchell Starc ,"Good length ball, pitching outside off stump, David Warner plays an aggressive off drive on the front foot and is beaten",0
3314,2.1,4,David Warner,Mitchell Starc ,"Full length ball, pitching on leg stump, David Warner leg glances it, 4 leg bye(s) gets added to the extras",4
3315,1.6,0,Mitchell Marsh,Vaibhav Arora ,"Good length ball, pitching outside off stump, Mitchell Marsh uncomfortably plays a forward defensive shot, no run",0
3316,1.5,W,Prithvi Shaw,Vaibhav Arora ,"TWIST OF FATE, KKR LAND A BIG BLOW good length ball, pitching outside off stump, Prithvi Shaw plays an aggressive lofted on drive on the front foot  The shot betrays him, sending a toe-end lob to mid-on where Varun Chakaravarthy launches into action, pulling off a sensational dive to snatch the ball from the brink. Amidst celebration and suspense, the catch heads upstairs for review. Replay clarity shows Chakaravarthy's brilliant anticipation and execution, his fingers securely cradling the ball just above the ground. The verdict? OUT.    An excellent diving catch by Varun Chakaravarthy ????  Early trouble for #DC in the chase  They have lost 4 wickets now  Watch the match LIVE on @JioCinema and @StarSportsIndia ????????#TATAIPL | #DCvKKR | @KKRiders pic.twitter.com/SzzvnzRm3F — IndianPremierLeague (@IPL) April 3, 2024",8
3317,1.4,0,Prithvi Shaw,Vaibhav Arora ,"Good length ball, pitching outside off stump, Prithvi Shaw uncomfortably plays a defensive forward push, no run, Appeal from the fielding side",0
3318,1.3,1,David Warner,Vaibhav Arora ,"Good length ball, pitching on leg stump, David Warner plays a defensive forward push for a single",1
3319,1.3,1,David Warner,Vaibhav Arora ,"Good length ball, pitching outside off stump, David Warner plays an aggressive cover drive on the front foot, 1 wide(s) gets added to the extras",1
3320,1.2,4,David Warner,Vaibhav Arora ,"FORTUNE'S FAVOR  short of good length ball, pitching on leg stump, David Warner's attempt at aggression nearly backfires as he pulls a delivery that's not quite there for the shot. The result? A fortunate top-edge that sails over the short fine leg fielder, eluding his desperate chase and finding the boundary",4
3321,1.1,4,David Warner,Vaibhav Arora ," SWIVEL AND STRIKE   short of good length ball, pitching outside leg stump, David Warner pounces on it with a swift swivel pull. The ball races between the short fine leg and keeper.Arora's welcome delivery gets the treatment it deserves.",4
3322,0.6,4,Prithvi Shaw,Mitchell Starc ,"CRUNCH TIME   short of good length ball, pitching outside off stump, Prithvi Shaw elegantly rising on his toes to dispatch it over the cover point. His exquisite cut not only finds the gap but ensures back-to-back boundaries",4
3323,0.5,4,Prithvi Shaw,Mitchell Starc ,"EDGE OF GLORY  short of good length ball, pitching on off stump, Prithvi Shaw goes for an adventurous slash  shot Despite not connecting perfectly, Shaw's intent to dominate sends the ball racing past third-man, marking a fortuitous start for DC",4
3324,0.4,2,Prithvi Shaw,Mitchell Starc ,"Good length ball, pitching on off stump, Prithvi Shaw plays an aggressive on drive on the front foot for 2 runs",2
3325,0.3,0,Prithvi Shaw,Mitchell Starc ,"Good length ball, pitching on off stump, Prithvi Shaw plays a defensive shot on back foot, no run",0
3326,0.2,0,Prithvi Shaw,Mitchell Starc ,"Good length ball, pitching outside off stump, Prithvi Shaw plays a defensive back foot push, no run",0
3327,0.1,1,David Warner,Mitchell Starc ,"STARC TO START THE ATTACK  short of good length ball, pitching outside off stump, David Warner glides it for a single",1
3328,19.4,W,Mohammed Siraj,Haq ,"POORAN SEALS THE DEAL WITH A SPECTACULAR CATCH full length ball, pitching on off stump, Mohammed Siraj connects decently, but the ball doesn't have enough power to clear the ropes. Pooran, stationed at long-on, reads the trajectory like a book! He sprints to his left with incredible athleticism and dives across, taking a spectacular tumbling catch to end the innings! LSG emerge victorious by 28 runs! A win at home followed by a win away from home for the Lucknow Super Giants! ????????  They move to number 4? on the Points Table!  Scorecard ?? https://t.co/ZZ42YW8tPz#TATAIPL | #RCBvLSG pic.twitter.com/uc8rWveRim — IndianPremierLeague (@IPL) April 2, 2024     WICKET Mohammed Siraj c Nicholas Pooran b Naveen-Ul-Haq (Royal Challengers Bengaluru 153 Runs for 10 wickets)",8
3329,19.3,0,Mohammed Siraj,Haq ,"Short of good length ball, pitching outside off stump, Mohammed Siraj cuts it late and is beaten",0
3330,19.2,0,Mohammed Siraj,Haq ,"Good length ball, pitching outside off stump, Mohammed Siraj plays an aggressive lofted off drive on the front foot and is beaten",0
3331,19.1,1,Reece Topley,Haq ,"Good length ball, pitching outside off stump, Reece Topley plays a defensive forward push for a single",1
3332,18.6,6,Mohammed Siraj,Ravi Bishnoi ,"SIRAJ ? MORE LIKE RAJ full length ball, pitching outside off stump, Mohammed Siraj plays an aggressive lofted straight shot on the front foot is effortlessly lifted over the boundary for another maximum, showing that Siraj isn't done just yet. RCB NEED 30 FROM THE LAST 6 ",6
3333,18.5,6,Mohammed Siraj,Ravi Bishnoi ,"SIRAJ GOES BIG  full length ball, pitching outside off stump, Mohammed Siraj plays an aggressive lofted off drive on the front foot is met with brute force as Siraj sends it sailing over the long-off fence, marking his intent with a thunderous maximum.",6
3334,18.4,0,Mohammed Siraj,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Mohammed Siraj uncomfortably plays a forward defensive shot,gets hit on the pads  Appeal from the fielding side.  A dramatic LBW appeal from Bishnoi sees Siraj initially given out, potentially ending the match. However, Siraj's review reveals the ball was indeed too high, with the googly missing the wickets.",0
3335,18.4,1,Mohammed Siraj,Ravi Bishnoi ,"Good length ball, pitching on off stump, Mohammed Siraj leg glances it, 1 wide(s) gets added to the extras",1
3336,18.3,0,Mohammed Siraj,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Mohammed Siraj plays a forward defensive shot, no run",0
3337,18.2,1,Reece Topley,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Reece Topley plays a defensive back foot push for a single",1
3338,18.1,0,Reece Topley,Ravi Bishnoi ,"Good length ball, pitching outside off stump, Reece Topley plays a defensive back foot push, no run",0
3339,17.6,0,Mohammed Siraj,Yash Thakur ,"Short of good length ball, pitching outside off stump, Mohammed Siraj plays a defensive back foot push and is beaten",0
3340,17.5,W,Mahipal Lomror,Yash Thakur ," THAKUR CLIPS LOMROR'S WINGS full length ball, pitching outside off stump, Mahipal Lomror plays an aggressive lofted off drive on the front foot hoping to go big but Lomror's attempt to clear wide long-off falls short, landing straight in Nicholas Pooran's hands at the boundary. RCB's hopes are dashed as LSG inches closer to victory, needing just one more wicket.  WICKET Mahipal Lomror c Nicholas Pooran b Yash Thakur (Royal Challengers Bengaluru 138 Runs for 9 wickets)",8
3341,17.4,1,Reece Topley,Yash Thakur ,"Good length ball, pitching outside off stump, Reece Topley plays a defensive shot on back foot for a single",1
3342,17.3,0,Reece Topley,Yash Thakur ,"Good length ball, pitching outside off stump, Reece Topley plays a defensive shot on back foot, no run",0
3343,17.2,0,Reece Topley,Yash Thakur ,"Short length ball, pitching outside off stump, Reece Topley plays a defensive shot on back foot and is beaten",0
3344,17.1,1,Mahipal Lomror,Yash Thakur ,"WHAT HAPPENED THERE? POORAN'S LASER SHOW ENDS DAGAR'S STAY  good length ball, pitching on off stump, Mahipal Lomror plays an aggressive lofted on drive on the front foot that ends in a mishit, landing safely yet sparking a disastrous mix-up. While a single seems the only gain, Dagar's dash for a non-existent second is thwarted by Lomror’s steadfast refusal, culminating in an unexpected run-out and deepening the crisis for RCB. Nicholas Pooran, momentarily blinded by the flight of the ball, compensates brilliantly with a laser-accurate throw at the striker’s end  WICKET Mayank Dagar run out Nicholas Pooran (Royal Challengers Bengaluru 137 Runs for 8 wickets) WOW! ????  Nicholas Pooran with a pitch-perfect direct-hit from the deep! ????  Head to @JioCinema and @StarSportsIndia to watch the match LIVE#TATAIPL | #RCBvLSG pic.twitter.com/MtZ3DuR6nW — IndianPremierLeague (@IPL) April 2, 2024",1
3345,16.6,0,Mayank Dagar,Haq ,"Good length ball, pitching outside off stump, Mayank Dagar plays an aggressive cut shot and is beaten",0
3346,16.5,W,Dinesh Karthik,Haq ,"DK FALLS AND LSG GET RID OF THE MAIN MAN short of good length ball, pitching outside off stump, Dinesh Karthik looking to pull, is caught off-guard as the ball rushes him, clipping the gloves and lobbing an easy catch to Rahul behind the stumps.   WICKET Dinesh Karthik c KL Rahul b Naveen-Ul-Haq (Royal Challengers Bengaluru 136 Runs for 7 wickets)",8
3347,16.5,1,Dinesh Karthik,Haq ,"Full length ball, pitching outside leg stump, Dinesh Karthik plays an aggressive front foot flick, 1 wide(s) gets added to the extras",1
3348,16.4,1,Mahipal Lomror,Haq ,"Full length ball, pitching on leg stump, Mahipal Lomror uncomfortably plays an aggressive lofted on drive on the front foot, 1 leg bye(s) gets added to the extras",1
3349,16.3,4,Mahipal Lomror,Haq ," INNOVATION AT ITS FINEST short length ball, pitching on off stump, Mahipal Lomror with a flick of his wrists, he ramps it elegantly over the keeper's head for a boundary. It's smart, it's effective, and it for 4 runs. With a slower bouncer aimed around off-stump, Lomror, staying alert on the back foot, perfectly reads the pace.",4
3350,16.2,6,Mahipal Lomror,Haq ,"SMOKED INTO THE STANDS   good length ball, pitching outside off stump, Mahipal Lomror anchored yet explosive, swings with all his might, sending the ball soaring for a monumental six into the long-on crowd.",6
3351,16.1,1,Dinesh Karthik,Haq ,"BACK INTO THE ATTACK  good length ball, pitching outside off stump, Dinesh Karthik plays an aggressive cut shot for a single",1
3352,15.6,1,Dinesh Karthik,Yash Thakur ,"Good length ball, pitching outside off stump, Dinesh Karthik plays an aggressive cover drive on the front foot for a single",1
3353,15.5,1,Mahipal Lomror,Yash Thakur ,"Full length ball, pitching on off stump, Mahipal Lomror plays an aggressive front foot flick for a single",1
3354,15.4,6,Mahipal Lomror,Yash Thakur ,"LAUNCHES IT INTO THE NIGHT  short of good length ball, pitching outside off stump, Mahipal Lomror with clarity of intent and a hint of disdain for the delivery's audacity, clears his front leg, positioning himself perfectly. With a swing that's both graceful and powerful, he smacks the ball over mid-off, sending it sailing for another six.",6
3355,15.3,4,Mahipal Lomror,Yash Thakur ,"FORTUNE FAVOURS THE BRAVE  short of good length ball, pitching outside off stump, Mahipal Lomror opting for aggression, he goes on the back foot, slashing hard. The result? An outside edge that zips past the short third man to the right, finding the boundary for four.",4
3356,15.2,6,Mahipal Lomror,Yash Thakur ,"LOFTED AWAY FROM LOMROR    full length ball, pitching outside off stump, Mahipal Lomror sends a fuller delivery sailing over long-off for six, punishing Thakur's slot ball with a clear front leg and a solid hit.",6
3357,15.1,1,Dinesh Karthik,Yash Thakur ,"Good length ball, pitching outside off stump, Dinesh Karthik uncomfortably plays a defensive back foot push for a single",1
3358,14.6,1,Dinesh Karthik,Mayank Yadav ,"Short of good length ball, pitching outside off stump, Dinesh Karthik gets himself in a tangle, trapped in LBW—or so it seemed. Karthik, quick to review, is vindicated as replays show the ball sailing over. A narrow escape attributed to height! Yadav finishes strong with 3/14, With 17 Dot Balls.",1
3359,14.5,0,Dinesh Karthik,Mayank Yadav ,"Good length ball, pitching outside off stump, Dinesh Karthik uncomfortably plays a defensive shot on back foot, no run, Appeal from the fielding side",0
3360,14.4,0,Dinesh Karthik,Mayank Yadav ,"Short of good length ball, pitching outside off stump, Dinesh Karthik plays a defensive shot on back foot, no run",0
